locationid,site,room,publicaccess,description,unitposition,mapimageurl
3591,East Building,EBL,1,East Bldg Lawn,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3592,East Building,EBL,1,East Bldg Lawn,E,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3593,East Building,EBL,1,East Bldg Lawn,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3594,East Building,EBL,1,East Bldg Lawn,W,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3617,East Building,EC-003,1,East Bldg/ Auditorium Lobby,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3618,East Building,EC-003,1,East Bldg/ Auditorium Lobby,E,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3619,East Building,EC-003,1,East Bldg/ Auditorium Lobby,N,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3620,East Building,EC-003,1,East Bldg/ Auditorium Lobby,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3621,East Building,EC-003,1,East Bldg/ Auditorium Lobby,W,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3627,East Building,EC-005,1,East Bldg/ Auditorium,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3628,East Building,EC-005,1,East Bldg/ Auditorium,E,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3629,East Building,EC-005,1,East Bldg/ Auditorium,N,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3630,East Building,EC-005,1,East Bldg/ Auditorium,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3631,East Building,EC-005,1,East Bldg/ Auditorium,W,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png
3809,East Building,EG-100,1,East Bldg/ Central Atrium,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3810,East Building,EG-100,1,East Bldg/ Central Atrium,E,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3811,East Building,EG-100,1,East Bldg/ Central Atrium,N,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3812,East Building,EG-100,1,East Bldg/ Central Atrium,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3813,East Building,EG-100,1,East Bldg/ Central Atrium,W,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3814,East Building,EG-101,1,East Bldg/ Entrance Lobby,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3815,East Building,EG-101,1,East Bldg/ Entrance Lobby,E,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3816,East Building,EG-101,1,East Bldg/ Entrance Lobby,N,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3817,East Building,EG-101,1,East Bldg/ Entrance Lobby,W,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3850,East Building,EG-105,1,East Bldg/ Vestibule/ 105 (Pod 1),,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3851,East Building,EG-105,1,East Bldg/ Vestibule/ 105 (Pod 1),W,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3863,East Building,EG-107,1,East Bldg/ Ground/ Elevator Lobby,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3864,East Building,EG-107,1,East Bldg/ Ground/ Elevator Lobby,N,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3865,East Building,EG-107,1,East Bldg/ Ground/ Elevator Lobby,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png
3921,East Building,EM-201,1,East Bldg/ Mezz. Landing,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3922,East Building,EM-201,1,East Bldg/ Mezz. Landing,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3923,East Building,EM-203,1,East Bldg/ Mezz. Terrace,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3924,East Building,EM-203,1,East Bldg/ Mezz. Terrace,E,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3925,East Building,EM-203,1,East Bldg/ Mezz. Terrace,N,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3926,East Building,EM-203,1,East Bldg/ Mezz. Terrace,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3928,East Building,EM-204,1,East Bldg/ Mezz. Elevator Lobby,,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3929,East Building,EM-204,1,East Bldg/ Mezz. Elevator Lobby,S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3947,East Building,EM-216,1,East Bldg/ Vestibule/ 216 (Pod 1),,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3948,East Building,EM-216,1,East Bldg/ Vestibule/ 216 (Pod 1),N,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3949,East Building,EM-216,1,East Bldg/ Vestibule/ 216 (Pod 1),S,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
3955,East Building,EM-217-B,1,East Bldg/ Mezz Gal 217B (Pod 1),,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png
