locationkey,locationtype,description,ispublicvenue,mapshapetype,mapshapecoords,partof
EC-005,room,East Building Auditorium,1,poly,301/64/355/85/356/121/301/142,3-eb-concourse
EC-029-N,room,East Building/ Concourse - Gallery 29N,0,poly,390/83/401/87/400/92/396/102/396/117/387/118/385/93,3-eb-concourse
EC-029-B,room,East Building/ Concourse - Gallery 29B,0,poly,414/109/415/129/424/000/000/000/000/000/000/000,3-eb-concourse
EC-029-R,room,East Building/ Concourse - Gallery 29R,0,poly,496/99/497/102/498/113/496/116/490/116/487/114/487/99,3-eb-concourse
EBSA,room,East Building Small Auditorium,1,,,3-eb-concourse
EC-028,room,East Building/ Concourse - Gallery Lobby,1,poly,387/119/414/119/415/000/000/000,3-eb-concourse
CLA-098,room,West Concourse Gallery,1,rect,6/97/17/118,3-eb-concourse
EC-029-I,room,East Building/ Concourse - Gallery 29I,0,poly,344/42/365/49/362/61/353/64/345/61/339/53,3-eb-concourse
EC-029-D,room,East Building/ Concourse - Gallery 29D,0,poly,401/95/405/95/425/95/425/103/414/107/414/117/396/117/397/101,3-eb-concourse
EC-029-G,room,East Building/ Concourse - Gallery 29G,0,poly,392/60/409/65/401/86/385/81,3-eb-concourse
EC-029-A,room,East Building/ Concourse - Gallery 29A,0,rect,446/95/487/121,3-eb-concourse
EC-029-F,room,East Building/ Concourse - Gallery 29F,0,poly,409/66/424/72/425/90/403/82,3-eb-concourse
EC-029-Q,room,East Building/ Concourse - Gallery 29Q,0,poly,390/83/401/87/400/92/396/102/396/117/387/118/385/93,3-eb-concourse
EBLA,room,East Building Auditorium,1,,,3-eb-concourse
EC-029-C,room,East Building/ Concourse - Gallery 29C,0,poly,426/80/446/80/446/95/426/103,3-eb-concourse
EC-029-P,room,East Building/ Concourse - Gallery 29P,0,poly,360/72/391/83/386/90/382/89/381/92/358/83,3-eb-concourse
G-042-A,room,West Building/ Ground Floor - Gallery 42A,0,rect,155/94/173/118,2-wb-ground
WBLHl,room,West Building Lecture Hall,1,,,2-wb-ground
M-060-A,room,West Building/ Main Floor - Gallery 60A,0,rect,446/165/462/187,1-wb-main
M-089,room,West Building/ Main Floor - Gallery 89,0,rect,350/72/382/93,1-wb-main
M-037,room,West Building/ Main Floor - Gallery 37,0,rect,77/143/95/164,1-wb-main
EG-106-B,room,East Building/ Ground Level - Gallery 106B,0,rect,319/87/339/124,4-eb-ground
EG-105,room,East Building/ Ground Level - Gallery 105,0,poly,272/92/294/100/299/101/299/109/294/109/284/113/271/109,4-eb-ground
ENT,room,East Building/ Ground Level - North Terrace,0,poly,193/34/299/70/329/60/329/81/285/97/194/65,4-eb-ground
EM-201,room,East Building/ Mezzanine - Landing,0,poly,192/177/227/165/227/000/000/000/000/000,4-eb-ground
EG-103-A,room,East Bldg/ Ground Gal 103A (Pod 2),1,,,4-eb-ground
EG-107,room,East Building/ Ground - Elevator Lobby,0,poly,171/139/193/129/191/000/000/000,4-eb-ground
S-150,room,East Building/ Ground Level - Library,0,poly,369/164/367/173/330/000/000/000,4-eb-ground
EG-101,room,East Building/ Ground Level - Entrance Lobby,0,poly,195/133/195/78/215/85/215/71/245/82/245/117/236/119/245/123/245/137/215/126,4-eb-ground
6-eb-upper,floor,East Building/ Upper Level,0,,,eb
EU-406-A,room,East Building/ Upper Level - Gallery 406A,0,poly,170/35/189/36/188/55/171/63,6-eb-upper
EU-415-C,room,East Building/ Upper Level - Gallery 415C,0,rect,299/94/318/118,6-eb-upper
M-084,room,West Building/ Main Floor - Gallery 84,0,rect,406/70/427/97,1-wb-main
EU-407-D,room,East Building/ Upper Level - Gallery 407D,0,poly,223/89/230/72/198/60/193/67/194/79,6-eb-upper
EU-404-D,room,East Building/ Upper Level - Gallery 404D,0,poly,165/156/170/154/170/000/000/000/000/000/000/000/000/000,6-eb-upper
EU-406-C,room,East Building/ Upper Level - Gallery 406C,0,poly,137/32/150/28/150/59/137/59,6-eb-upper
EU-404-A,room,East Building/ Upper Level - Gallery 404A,0,rect,145/71/162/107,6-eb-upper
M-059,room,West Building/ Main Floor - Gallery 59,0,rect,406/144/444/164,1-wb-main
M-072-B,room,West Building/ Main Floor - Gallery 72-B,0,,,1-wb-main
G-041,room,West Building/ Ground Floor - Gallery 41,0,rect,132/93/154/118,2-wb-ground
G-001-A,room,West Building/ Ground Floor - Gallery 1,0,rect,232/48/242/94,2-wb-ground
G-007,room,West Building/ Ground Floor - Gallery 7,0,circle,143/60/10,2-wb-ground
G-022,room,West Building/ Ground Floor - Gallery 22,0,rect,79/89/88/101,2-wb-ground
WBL,room,West Building Lawn,0,rect,1/47/10/166,2-wb-ground
G-027,room,West Building/ Ground Floor - Gallery 27,0,rect,132/163/153/183,2-wb-ground
G-005,room,West Building/ Ground Floor - Gallery 5,0,rect,154/74/168/94,2-wb-ground
G-010,room,West Building/ Ground Floor - Gallery 10,0,rect,78/3/136/25,2-wb-ground
G-045,room,West Building/ Ground Floor - Gallery 45,0,rect,304/94/325/118,2-wb-ground
G-031,room,West Building/ Ground Floor - Gallery 31,0,rect,114/145/132/163,2-wb-ground
G-025,room,West Building/ Ground Floor - Gallery 25,0,rect,57/164/78/182,2-wb-ground
G-032,room,West Building/ Ground Floor - Gallery 32,0,rect,97/145/114/163,2-wb-ground
